key,value
5  2  1  7  3  4  6  9  0,0.       0.       0.009995 0.      
5  2  1  7  0  4  6  3  9, 0.005 -0.001  0.     0.   
5  0  1  7  2  4  6  3  9,0.005 0.    0.    0.   
5  0  1  3  2  4  7  6  9,0.    0.    0.005 0.   
0  5  1  3  2  4  7  6  9,0.03489517 0.         0.         0.        
3  5  1  0  2  4  7  6  9,-0.00396434 -0.00588142  0.         -0.0048668 
3  5  1  7  2  4  0  6  9, 0.          0.01997002  0.         -0.00199405
3  5  1  7  2  4  6  0  9,0.        0.        0.0100049 0.       
3  5  1  2  0  4  7  6  9,0.0596711  0.005      0.01997002 0.005     
3  5  1  2  6  4  7  0  9, 0.         -0.01155094 -0.01438019 -0.01160969
3  5  1  2  6  4  7  9  0,0.        0.        0.0596711 0.       
3  5  1  2  6  4  0  7  9, 0.         -0.0039642   0.          0.07447727
3  5  1  0  6  4  2  7  9,0.02008344 0.         0.         0.        
3  5  1  2  4  0  7  6  9, 0.         -0.00199405 -0.00094582  0.        
3  5  0  2  4  1  7  6  9, 0.009995  0.       -0.001     0.      
3  0  5  2  4  1  7  6  9,0.    0.    0.    0.005
3  0  1  2  5  4  7  6  9,0.    0.    0.005 0.   
0  3  1  2  5  4  7  6  9,0.005 0.    0.    0.   
2  3  1  0  5  4  7  6  9,-0.001       0.          0.         -0.00199405
2  3  1  7  5  4  0  6  9, 0.     0.005  0.    -0.001
2  3  1  7  5  4  6  0  9,0.    0.    0.005 0.   
2  3  1  5  0  4  7  6  9, 0.    -0.001  0.005  0.   
2  0  1  5  3  4  7  6  9,0. 0. 0. 0.
7  9  6  5  4  8  1  2  0,0.       0.009995 0.       0.      
7  9  6  5  4  0  1  2  8,-0.00099505  0.         -0.00298216  0.        
7  9  6  5  0  4  1  2  8,0.009995 0.       0.       0.009995
7  9  6  5  2  4  1  0  8, 0.        -0.0009901 -0.001      0.005    
7  9  6  5  2  4  0  1  8,0.    0.    0.    0.005
7  9  6  5  2  4  1  8  0, 0.    -0.001  0.     0.   
7  9  6  5  2  0  1  8  4,0.    0.005 0.    0.   
7  9  0  5  2  6  1  8  4,0.       0.       0.009995 0.      
7  0  9  5  2  6  1  8  4, 0.          0.         -0.001      -0.00099505
0  7  9  5  2  6  1  8  4,-0.001  0.     0.     0.   
5  7  9  0  2  6  1  8  4, 0.01498501  0.          0.         -0.001     
5  7  9  1  2  6  0  8  4, 0.         -0.00296734  0.         -0.001     
5  7  9  1  2  6  8  0  4,0.    0.    0.005 0.   
5  7  9  2  0  6  1  8  4,-0.001  0.005  0.     0.   
5  7  9  2  8  6  1  0  4,0.    0.005 0.    0.   
5  0  9  2  7  6  1  8  4,0.    0.    0.005 0.   
0  5  9  2  7  6  1  8  4,0.005 0.    0.    0.   
2  5  9  0  7  6  1  8  4,0.009995 0.       0.       0.      
2  5  9  1  7  6  0  8  4, 0.         -0.00099505  0.         -0.001     
2  5  9  1  7  6  8  0  4,0.         0.01498501 0.         0.005     
2  5  9  1  0  6  8  7  4,-0.0009901  0.009995  -0.001      0.       
2  5  9  0  1  6  8  7  4,-0.001  0.     0.     0.   
2  5  9  8  1  6  0  7  4,0.    0.    0.    0.005
2  5  9  8  1  6  7  0  4, 0.    -0.001  0.     0.   
2  5  9  8  0  6  7  1  4, 0.     0.     0.    -0.001
2  5  9  8  6  0  7  1  4,0.005 0.    0.    0.   
2  5  9  8  6  4  7  1  0, 0.     0.    -0.001  0.   
2  5  9  8  6  4  7  0  1, 0.     0.    -0.001  0.   
2  5  9  8  6  4  0  7  1,0.         0.01498501 0.         0.        
2  5  9  0  6  4  8  7  1,-0.00198416 -0.00199405  0.         -0.00198906
0  5  9  2  6  4  8  7  1,0.009995 0.       0.       0.      
2  5  9  6  0  4  8  7  1,-0.00195954  0.020103    0.005       0.        
2  5  9  6  7  4  8  0  1,0.         0.01000992 0.05472582 0.        
2  5  9  6  7  4  0  8  1, 0.         -0.01438019  0.         -0.01062064
2  5  9  0  7  4  6  8  1, 0.07447727 -0.001       0.          0.        
0  5  9  2  7  4  6  8  1,0.00501484 0.         0.         0.        
2  0  9  6  5  4  8  7  1,-0.00296721  0.          0.04482042 -0.001     
0  2  9  6  5  4  8  7  1,-0.01253901  0.          0.         -0.00874252
6  2  9  0  5  4  8  7  1,-0.00396422  0.06461143  0.          0.        
6  2  9  8  5  4  0  7  1,0.         0.02011281 0.         0.        
2  9  0  6  5  4  8  7  1,-0.001  0.     0.     0.   
2  9  4  6  5  0  8  7  1, 0.005  0.    -0.001  0.   
2  9  4  6  5  1  8  7  0, 0.         -0.00099505  0.          0.        
2  9  4  6  0  5  8  7  1,0.       0.       0.009995 0.      
2  9  4  0  6  5  8  7  1,-0.001      -0.001       0.         -0.00099505
0  9  4  2  6  5  8  7  1, 0.005  0.     0.    -0.001
9  0  4  2  6  5  8  7  1,-0.001  0.     0.005  0.   
9  6  4  2  0  5  8  7  1,0.    0.005 0.    0.   
2  9  4  8  6  5  0  7  1,0.    0.    0.    0.005
2  9  4  8  6  5  7  0  1,0.       0.       0.       0.009995
2  9  4  8  6  5  7  1  0, 0.         -0.00298216 -0.00099505  0.        
2  9  4  8  6  0  7  1  5,0.009995 0.       0.       0.      
8  1  4  7  3  0  2  5  6,0.005    0.       0.009995 0.      
8  1  4  7  3  6  2  5  0, 0.         -0.00199405  0.          0.        
8  1  4  7  0  3  2  5  6, 0.005       0.          0.         -0.00099505
8  1  4  7  5  3  2  0  6,0.       0.       0.009995 0.      
8  1  4  7  5  3  0  2  6, 0.          0.009995    0.         -0.00099505
8  1  4  0  5  3  7  2  6,-0.00099505  0.005       0.         -0.001     
8  1  4  5  0  3  7  2  6, 0.    -0.001  0.005 -0.001
8  1  4  5  3  0  7  2  6,0.         0.01498501 0.005      0.        
8  1  0  5  3  4  7  2  6,-0.00296734  0.          0.          0.        
8  0  4  5  1  3  7  2  6,0.005 0.    0.    0.   
0  1  4  8  5  3  7  2  6,0.         0.         0.         0.01498501
1  0  4  8  5  3  7  2  6,-0.00196937  0.         -0.00198416  0.024955  
1  5  4  8  0  3  7  2  6, 0.04482042  0.01000984  0.009995   -0.00198416
1  5  4  8  2  3  7  0  6, 0.         -0.00874252 -0.00591097 -0.0134625 
1  5  4  8  2  3  7  6  0,0.         0.         0.06954682 0.        
1  5  4  8  2  3  0  7  6,0.        0.        0.        0.0299251
1  5  4  8  3  0  7  2  6,0.005      0.01997002 0.01003945 0.        
1  5  0  8  3  4  7  2  6,-0.0039446   0.         -0.00199405  0.        
1  0  5  8  3  4  7  2  6,0.       0.       0.       0.009995
1  5  4  8  3  6  7  2  0, 0.         -0.00098516 -0.001       0.        
1  5  4  8  3  6  7  0  2,0.    0.    0.    0.005
1  5  4  0  8  3  7  2  6,-0.001      -0.00298216  0.         -0.00193486
1  5  4  7  8  3  0  2  6,0.    0.005 0.    0.   
0  5  4  1  8  3  7  2  6,0.01498501 0.         0.         0.        
1  4  0  8  5  3  7  2  6, 0.009995   0.        -0.0039446  0.       
1  4  3  8  5  0  7  2  6, 0.005      -0.00099505  0.          0.        
1  4  3  8  5  6  7  2  0, 0.     0.    -0.001  0.   
1  4  3  8  5  6  7  0  2, 0.    -0.001  0.     0.   
1  4  3  8  0  6  7  5  2,0.    0.005 0.    0.   
1  0  3  8  4  6  7  5  2, 0.     0.    -0.001 -0.001
0  1  3  8  4  6  7  5  2,-0.00199405  0.          0.          0.005     
8  1  3  0  4  6  7  5  2,0.       0.009995 0.       0.      
1  3  0  8  4  6  7  5  2,-0.001  0.     0.     0.   
1  3  6  8  4  0  7  5  2, 0.     0.    -0.001  0.   
1  3  6  8  0  4  7  5  2,0.009995 0.       0.       0.      
1  3  6  8  5  4  7  0  2, 0.         -0.00099505 -0.001       0.06461143
1  3  6  8  5  4  0  7  2,0.    0.    0.    0.005
1  3  6  8  5  4  7  2  0, 0.         -0.00783401 -0.01155094  0.        
1  3  6  8  5  0  7  2  4, 0.03489517  0.         -0.001       0.        
1  3  6  8  0  5  7  2  4, 0.    -0.001  0.     0.   
1  0  6  8  3  5  7  2  4, 0.     0.    -0.001  0.   
0  1  6  8  3  5  7  2  4,-0.001  0.     0.     0.005
8  1  6  0  3  5  7  2  4,0.    0.005 0.    0.   
8  2  7  6  4  5  3  1  0, 0.     0.    -0.001  0.   
8  2  7  6  4  5  3  0  1, 0.    -0.001  0.     0.   
8  2  7  6  0  5  3  4  1, 0.    -0.001  0.     0.   
8  0  7  6  2  5  3  4  1,0.    0.    0.005 0.   
0  8  7  6  2  5  3  4  1,-0.001  0.     0.     0.   
6  8  7  0  2  5  3  4  1,0.005 0.    0.    0.   
6  8  7  3  2  5  0  4  1,0.       0.       0.       0.009995
6  8  7  3  2  5  4  0  1, 0.         -0.001      -0.00099505  0.        
6  8  7  3  0  5  4  2  1,0.         0.         0.         0.00999995
6  8  7  3  5  0  4  2  1, 0.          0.009995   -0.00099505  0.        
6  8  0  3  5  7  4  2  1,-0.00099505  0.         -0.00298216  0.        
6  0  8  3  5  7  4  2  1,-0.001     0.        0.        0.009995
6  5  8  3  0  7  4  2  1,0.009995 0.       0.       0.005   
6  5  8  3  7  0  4  2  1, 0.005       0.         -0.00099505  0.        
6  5  8  3  7  1  4  2  0, 0.         -0.00099505  0.          0.        
6  5  8  3  2  7  4  0  1, 0.         -0.00099505 -0.001       0.005     
6  5  8  3  2  7  0  4  1,0.    0.    0.    0.005
6  5  8  3  2  7  4  1  0,0.        0.0100197 0.        0.       
6  5  8  3  2  0  4  1  7,-0.00099505  0.06954682 -0.001       0.        
6  5  0  3  2  8  4  1  7,-0.01247542  0.         -0.00878671  0.        
6  0  5  3  2  8  4  1  7,0.009995   0.         0.0100049  0.03986028
6  5  8  3  0  2  4  1  7,0.         0.         0.         0.00501484
6  2  5  3  0  8  4  1  7, 0.        -0.0009753  0.005      0.       
0  6  5  3  2  8  4  1  7, 0.009995    0.          0.         -0.00192012
3  6  5  0  2  8  4  1  7, 0.01000984 -0.00198416  0.         -0.00298216
3  6  5  2  0  8  4  1  7,0.         0.         0.01498501 0.        
3  6  5  4  2  8  0  1  7, 0.         -0.00198415  0.          0.01498995
3  6  5  4  2  8  1  0  7, 0.          0.         -0.00296734  0.005     
3  6  5  4  2  8  1  7  0, 0.          0.         -0.00099505  0.        
6  2  5  0  3  8  4  1  7,0.005 0.    0.    0.   
6  2  5  4  3  8  0  1  7,0.    0.    0.    0.005
6  2  5  4  3  8  1  0  7, 0.    -0.001  0.     0.   
6  2  5  4  0  8  1  3  7, 0.     0.    -0.001  0.   
6  2  5  0  4  8  1  3  7,0.005 0.    0.    0.   
6  2  5  1  4  8  0  3  7, 0.     0.     0.    -0.001
6  2  5  1  4  8  3  0  7, 0.    -0.001  0.     0.   
6  2  5  1  0  8  3  4  7,0.    0.    0.    0.005
6  2  5  1  8  0  3  4  7,0.    0.005 0.    0.   
6  2  0  1  8  5  3  4  7, 0.     0.    -0.001  0.   
6  0  2  1  8  5  3  4  7,0.       0.       0.009995 0.      
0  6  2  1  8  5  3  4  7, 0.005       0.          0.         -0.00099505
1  6  2  0  8  5  3  4  7, 0.005  0.     0.    -0.001
1  6  2  8  0  5  3  4  7,0.    0.    0.005 0.   
1  6  2  3  8  5  0  4  7,0.    0.    0.    0.005
1  6  2  3  8  5  4  0  7,0.    0.005 0.    0.   
1  6  2  3  0  5  4  8  7,0.    0.    0.    0.005
1  6  2  3  5  0  4  8  7, 0.    -0.001  0.     0.   
1  6  0  3  5  2  4  8  7,0.       0.       0.009995 0.      
1  0  6  3  5  2  4  8  7,-0.001       0.          0.         -0.00099505
1  5  6  3  0  2  4  8  7,0.         0.         0.         0.02999416
1  5  6  3  2  0  4  8  7,-0.00591094  0.03489517 -0.00491592  0.        
1  5  6  3  2  7  4  8  0, 0.          0.02998432 -0.001       0.        
1  5  6  3  2  7  4  0  8,0.    0.    0.    0.005
1  5  0  3  2  6  4  8  7,-0.00684099  0.         -0.00973355  0.        
1  0  5  3  2  6  4  8  7, 0.          0.         -0.00298213  0.0497756 
0  1  5  3  2  6  4  8  7,0.         0.         0.         0.01502454
8  7  2  1  9  4  3  5  0, 0.    -0.001  0.     0.   
8  7  2  1  9  0  3  5  4, 0.    -0.001  0.     0.   
8  7  0  1  9  2  3  5  4, 0.     0.    -0.001  0.   
8  0  7  1  9  2  3  5  4,0.    0.    0.005 0.   
0  8  7  1  9  2  3  5  4,0.005 0.    0.    0.   
1  8  7  0  9  2  3  5  4,0.005 0.    0.    0.   
1  8  7  3  9  2  0  5  4, 0.     0.     0.    -0.001
1  8  7  3  9  2  5  0  4,0.       0.       0.       0.009995
1  8  7  3  9  2  5  4  0, 0.         -0.001      -0.00099505  0.        
1  8  7  3  9  0  5  4  2,0.       0.009995 0.       0.      
1  8  0  3  9  7  5  4  2,-0.00099505  0.         -0.001       0.        
1  0  8  3  9  7  5  4  2,-0.00199405  0.         -0.001       0.        
0  1  8  3  9  7  5  4  2,0.    0.    0.    0.005
1  9  8  3  0  7  5  4  2,0.    0.005 0.005 0.   
1  9  8  0  3  7  5  4  2,0.009995 0.       0.       0.      
1  9  8  5  3  7  0  4  2, 0.         -0.00099505  0.          0.005     
1  9  8  5  3  7  4  0  2, 0.    -0.001  0.     0.   
1  9  8  5  0  7  4  3  2,0.    0.    0.005 0.005
1  9  8  5  7  0  4  3  2, 0.          0.         -0.00099505  0.        
1  9  8  0  5  7  4  3  2, 0.005 -0.001  0.     0.   
1  9  8  4  5  7  0  3  2, 0.         -0.00099505  0.          0.        
0  9  8  1  5  7  4  3  2, 0.          0.          0.         -0.00199405
9  0  8  1  5  7  4  3  2,0.       0.       0.005    0.009995
9  8  0  1  5  7  4  3  2,-0.001       0.         -0.00099505  0.        
9  8  7  1  5  0  4  3  2,0.01499984 0.         0.         0.        
9  8  7  1  5  2  4  3  0, 0.         -0.00198416  0.05472582  0.        
9  8  7  1  5  2  4  0  3, 0.         -0.00783401 -0.01067454 -0.0096845 
9  8  7  1  0  2  4  5  3,0.03489517 0.         0.         0.005     
9  8  7  1  5  2  0  4  3, 0.         -0.001       0.          0.05472582
9  8  7  0  5  2  1  4  3,0.00501977 0.         0.         0.        
9  8  7  1  2  0  4  5  3,0.005      0.01498501 0.         0.        
9  8  0  1  2  7  4  5  3,-0.00296734  0.         -0.00396434  0.        
9  0  8  1  2  7  4  5  3,0.         0.         0.         0.01997002
9  8  7  1  2  3  4  5  0, 0.     0.    -0.001  0.   
9  8  7  1  2  3  4  0  5, 0.    -0.001  0.     0.   
9  8  7  1  0  3  4  2  5,0.         0.00999995 0.         0.        
9  0  7  1  8  3  4  2  5,-0.00099505  0.          0.          0.009995  
9  7  0  1  8  3  4  2  5, 0.00999995  0.         -0.00099505  0.        
9  7  3  1  8  0  4  2  5, 0.009995   -0.00099505  0.          0.        
9  7  3  1  8  5  4  2  0, 0.         -0.00099505 -0.00298216  0.        
9  7  3  1  8  5  4  0  2,0.       0.005    0.       0.009995
9  7  3  1  0  5  4  8  2, 0.     0.005 -0.001  0.   
9  7  3  0  1  5  4  8  2,0.    0.    0.    0.005
9  0  3  1  7  5  4  8  2,0.       0.       0.009995 0.      
0  9  3  1  7  5  4  8  2, 0.005       0.          0.         -0.00099505
1  9  3  0  7  5  4  8  2,0.009995 0.       0.       0.      
1  9  3  4  7  5  0  8  2, 0.         -0.00099505  0.         -0.001     
1  9  3  4  7  5  8  0  2,0.    0.005 0.    0.   
1  9  3  4  0  5  8  7  2,0.    0.005 0.    0.   
1  0  3  4  9  5  8  7  2, 0.     0.    -0.001  0.   
0  1  3  4  9  5  8  7  2,-0.001  0.     0.     0.   
4  1  3  0  9  5  8  7  2,-0.001  0.     0.    -0.001
4  1  3  8  9  5  0  7  2,0.    0.005 0.    0.   
4  1  3  9  0  5  8  7  2,0.    0.    0.    0.005
4  1  3  9  5  0  8  7  2, 0.0299251  -0.00199405  0.          0.        
4  1  0  9  5  3  8  7  2, 0.0100197  0.        -0.001      0.       
4  0  1  9  5  3  8  7  2,0.    0.    0.    0.005
4  1  3  9  5  2  8  7  0, 0.         -0.00491596 -0.00973355  0.        
4  1  3  9  5  2  8  0  7, 0.         -0.001       0.009995    0.04482042
4  1  3  9  0  2  8  5  7,0.005 0.    0.    0.   
4  1  3  9  5  2  0  8  7, 0.          0.          0.         -0.00196441
5  3  1  4  6  0  9  7  8,-0.00099505  0.          0.005       0.        
5  3  1  4  6  8  9  7  0,0.       0.009995 0.       0.      
5  3  1  4  0  6  9  7  8, 0.     0.    -0.001  0.   
5  3  1  0  4  6  9  7  8,-0.001  0.     0.     0.   
5  3  1  9  4  6  0  7  8,0.         0.         0.         0.01006385
5  3  1  9  4  6  7  0  8, 0.          0.         -0.00099505  0.07940279
5  3  1  9  4  6  7  8  0, 0.         -0.02409435 -0.01430697  0.        
5  3  1  9  4  0  7  8  6, 0.12351144 -0.00199405 -0.00591079  0.        
5  3  0  9  4  1  7  8  6,0.01006873 0.         0.         0.        
5  3  1  9  0  4  7  8  6,-0.001       0.          0.          0.02509711
5  3  1  9  8  4  7  0  6, 0.     0.    -0.001  0.   
5  3  1  9  8  4  0  7  6,0.    0.005 0.    0.   
5  3  1  0  8  4  9  7  6, 0.          0.03489517  0.         -0.001     
0  3  1  5  8  4  9  7  6,-0.00684099  0.          0.         -0.00494061
3  0  1  5  8  4  9  7  6,0.         0.         0.02495005 0.        
5  3  1  8  0  4  9  7  6,-0.001  0.     0.     0.005
5  3  1  8  7  4  9  0  6, 0.     0.005  0.    -0.001
5  3  1  8  7  4  9  6  0, 0.    -0.001  0.005  0.   
5  3  1  8  7  0  9  6  4,0.005 0.    0.    0.   
5  3  1  8  4  0  9  7  6,0.009995 0.       0.       0.      
5  3  1  8  4  6  9  7  0, 0.         -0.00099505 -0.001       0.        
5  3  1  8  4  6  9  0  7, 0.    -0.001  0.     0.   
5  3  1  8  0  6  9  4  7, 0.    -0.001  0.     0.   
5  0  1  8  3  6  9  4  7,0.    0.    0.    0.005
5  1  0  8  3  6  9  4  7,-0.001  0.     0.     0.   
5  1  6  8  3  0  9  4  7,-0.001     0.        0.009995  0.      
5  1  6  8  0  3  9  4  7, 0.         -0.001       0.009995   -0.00099505
5  0  6  8  1  3  9  4  7, 0.005  0.     0.    -0.001
5  6  0  8  1  3  9  4  7,0.    0.    0.005 0.   
5  1  6  8  3  7  9  4  0,0.         0.00500495 0.         0.        
5  1  6  0  8  3  9  4  7,-0.001       0.005       0.         -0.00099505
5  1  6  9  8  3  0  4  7,0.    0.005 0.    0.   
0  1  6  5  8  3  9  4  7,0.    0.    0.    0.005
1  0  6  5  8  3  9  4  7, 0.     0.     0.    -0.001
1  6  0  5  8  3  9  4  7,0.009995 0.       0.       0.      
1  6  3  5  8  0  9  4  7,-0.00199405 -0.00099505 -0.00199405  0.        
1  6  3  5  8  7  9  4  0, 0.     0.005 -0.001  0.   
1  6  3  5  0  8  9  4  7,0.       0.       0.       0.009995
1  6  3  5  8  7  9  0  4,0.    0.005 0.    0.   
1  6  3  5  0  7  9  8  4,0.    0.005 0.    0.   
1  0  3  5  6  7  9  8  4, 0.     0.     0.    -0.001
1  3  0  5  6  7  9  8  4,-0.001  0.     0.     0.   
1  3  7  5  6  0  9  8  4,0.    0.    0.005 0.   
1  3  7  5  0  6  9  8  4,-0.001  0.     0.     0.   
1  3  7  5  8  6  9  0  4,0.         0.         0.01498501 0.005     
1  3  7  5  8  6  0  9  4, 0.         -0.00199405  0.         -0.00296734
1  3  7  0  8  6  5  9  4,0.009995 0.       0.       0.      
1  3  7  5  8  6  9  4  0, 0.    -0.001  0.     0.   
1  3  7  5  8  0  9  4  6, 0.     0.    -0.001  0.   
1  3  7  5  0  8  9  4  6,0.    0.    0.005 0.   
1  3  7  0  5  8  9  4  6,-0.001  0.     0.     0.   
1  3  7  9  5  8  0  4  6,0.       0.       0.       0.009995
1  3  7  9  5  8  4  0  6, 0.          0.         -0.00099505  0.        
1  7  3  6  8  9  4  5  0, 0.     0.    -0.001  0.   
1  7  3  6  8  9  4  0  5,0.       0.009995 0.       0.      
1  7  3  6  0  9  4  8  5,-0.00099505  0.005       0.         -0.001     
1  0  3  6  7  9  4  8  5,-0.00099505  0.          0.         -0.001     
1  3  0  6  7  9  4  8  5,0.    0.    0.005 0.   
1  7  3  6  9  0  4  8  5, 0.    -0.001  0.     0.   
1  7  0  6  9  3  4  8  5, 0.     0.    -0.001  0.   
1  0  7  6  9  3  4  8  5,-0.001  0.     0.     0.   
1  9  7  6  0  3  4  8  5,0.       0.       0.009995 0.      
1  9  7  0  6  3  4  8  5, 0.005      -0.00199405  0.         -0.00099505
0  9  7  1  6  3  4  8  5,0.009995 0.       0.       0.      
1  9  7  4  6  3  0  8  5, 0.     0.     0.    -0.001
1  9  7  4  6  3  8  0  5,0.         0.         0.         0.01498501
1  9  7  4  6  3  8  5  0, 0.         -0.001      -0.00198416  0.        
1  9  7  4  6  0  8  5  3,0.       0.009995 0.       0.      
1  9  0  4  6  7  8  5  3,-0.00099505  0.          0.01498501  0.        
1  0  9  4  6  7  8  5  3,-0.00298216  0.         -0.00494061 -0.00198416
0  1  9  4  6  7  8  5  3,-0.001       0.          0.          0.02495005
4  1  9  0  6  7  8  5  3,0.    0.005 0.    0.   
